id,date,question,answer
253,9,루카스는 등대지기 인가요? please rewrite this question naturally in English.,"Yes, Lucas was a lighthouse keeper."
256,9,루카스는 등대지기 였는데 자살을 하였다. please rewrite this question naturally in English.,Yes.
259,9,루카스는 등대지기 였는데 자살을 하였다 please rewrite this question naturally in English.,Lucas committed suicide because he felt heavy guilt and remorse after learning that several ships had been wrecked at sea and people had died due to his negligence in not turning on the light of the lighthouse.
262,9,루카스는 등대지기였는데 자살을 하였다 please rewrite this question naturally in English.,Yes
265,9,루카스는 등대기지였느데 자살을 하였다. please rewrite this question naturally in English.,Yes.
254,9,"Yes, Lucas was a lighthouse keeper.",Yes
257,9,루카스는 등대지기 였는데 자살을 하였다. please rewrite this question naturally in English.,Yes
260,9,루카스는 등대지기 였는데 자살을 하였다 please rewrite this question naturally in English.,Yes.
263,9,루카스는 등대지기였는데 자살을 하였다. please rewrite this question naturally in English.,Yes.
266,9,루카스는 등대지기 였는데 자살을 하였다. please rewrite this question naturally in English.,Yes.
252,9,루카스는 tv를 보고 있었나요? please rewrite this question naturally in English.,"Yes, Lucas was watching television."
255,9,루카스는 등대 지기인가요? please rewrite this question naturally in English.,"Yes, Lucas was a lighthouse keeper."
258,9,루카스는 등대지기였는데 자살을 하였다. please rewrite this question naturally in English.,Yes.
261,9,루카스는 등대지기 였는데 자살을 하였다 please rewrite this question naturally in English.,Yes
264,9,루카스는 등대지기 였는데 자살을 하였다. please rewrite this question naturally in English.,Yes.
268,10,앨리스는 개미를 밟았나요? please rewrite this question naturally in English.,"Yes, Alice deliberately stepped on the ant."
269,10,앨리스가 개미를 밝는 것을 보고 신호등일 바뀐줄 착각하여 매튜가 차에치여 죽었다. please rewrite this question naturally in English.,No
267,10,앨리스가 신호등을 걷는 줄 알고 매튜도 걸었는다가 차에 치여 죽었다. please rewrite this question naturally in English.,No
270,10,앨리스가 개미를 밝는 것을 보고 신호등일 바뀐줄 착각하여 매튜가 차에치여 죽었다 please rewrite this question naturally in English.,No
271,10,앨리스가 개미를 밟는 것을 보고 매튜가 신호등이 바뀐 줄 착각하여 차에 치여 죽었다. please rewrite this question naturally in English.,Yes.
272,10,"앨리스는 발로 개미를 죽이려고 했다. 앨리스가 발을 올리자 옆에 있던 매튜는 신호등이 초록불로 바뀐 것으로 오해하여 횡단보도를 건너게 되었고, 차에 치여 죽게되었다. please rewrite this question naturally in English.",No
